医院,姓名,科室,评分,擅长,简介
复旦大学附属儿科医院,陈莲,病理科,3.3,临床病理诊断、术中冰冻诊断、疑难病例会诊,主任医师，病理科专科，在临床病理诊断方面有丰富经验。
复旦大学附属儿科医院,孙利,儿科,4.5,儿童呼吸系统疾病、儿童消化系统疾病、儿童感染性疾病、儿童生长发育评估,主任医师，从事儿科临床工作多年，对儿童常见病、多发病有丰富的诊疗经验。
复旦大学附属儿科医院,徐灵敏,儿科,4.2,儿童呼吸系统疾病、儿童消化系统疾病、儿童感染性疾病、儿童生长发育评估,主任医师，从事儿科临床工作多年，对儿童常见病、多发病有丰富的诊疗经验。
复旦大学附属儿科医院,周浩,儿科,3.9,儿童呼吸系统疾病、儿童消化系统疾病、儿童感染性疾病、儿童生长发育评估,主任医师，从事儿科临床工作多年，对儿童常见病、多发病有丰富的诊疗经验。
复旦大学附属儿科医院,丁艳华,儿童保健科,3.6,儿童生长发育评估、儿童营养指导、儿童早期发展,主任医师，儿童保健专科，从事儿童保健工作多年。
复旦大学附属儿科医院,孙锦华,儿童青少年心理,3.7,儿童多动症、儿童自闭症、儿童情绪障碍、学习困难,主任医师，儿童心理专科，在儿童青少年心理卫生方面有丰富经验。
复旦大学附属儿科医院,王建设,肝病科,3.7,病毒性肝炎、肝硬化、脂肪肝、肝癌,主任医师，肝病专科，从事肝病临床诊治工作多年。
复旦大学附属儿科医院,谢新宝,肝病科,4.7,病毒性肝炎、肝硬化、脂肪肝、肝癌,主任医师，肝病专科，从事肝病临床诊治工作多年。
复旦大学附属儿科医院,王炫,麻醉科,3.5,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。
复旦大学附属儿科医院,许政敏,小儿耳鼻喉,3.6,儿童中耳炎、儿童鼻窦炎、儿童扁桃体腺样体肥大,主任医师，小儿耳鼻喉科专科，在儿童耳鼻喉疾病诊治方面有丰富经验。
复旦大学附属儿科医院,曾玫,小儿感染科,3.7,儿童病毒性肝炎、儿童感染性疾病、儿童传染病、儿童发热待查,主任医师，小儿感染专科，擅长儿童各类感染性疾病的诊治。
复旦大学附属儿科医院,葛艳玲,小儿感染科,4.5,儿童病毒性肝炎、儿童感染性疾病、儿童传染病、儿童发热待查,主任医师，小儿感染专科，擅长儿童各类感染性疾病的诊治。
复旦大学附属儿科医院,陆怡,小儿感染科,4.1,儿童病毒性肝炎、儿童感染性疾病、儿童传染病、儿童发热待查,主任医师，小儿感染专科，擅长儿童各类感染性疾病的诊治。
复旦大学附属儿科医院,俞蕙,小儿感染科,3.9,儿童病毒性肝炎、儿童感染性疾病、儿童传染病、儿童发热待查,主任医师，小儿感染专科，擅长儿童各类感染性疾病的诊治。
复旦大学附属儿科医院,祁媛媛,小儿呼吸科,4.0,小儿呼吸科常见病、多发病诊治,主任医师，小儿呼吸科专科，从事临床工作多年，具有丰富的临床经验。
复旦大学附属儿科医院,田代印,小儿呼吸科,4.1,小儿呼吸科常见病、多发病诊治,主任医师，小儿呼吸科专科，从事临床工作多年，具有丰富的临床经验。
复旦大学附属儿科医院,张晓波,小儿呼吸科,3.7,小儿呼吸科常见病、多发病诊治,主任医师，小儿呼吸科专科，从事临床工作多年，具有丰富的临床经验。
复旦大学附属儿科医院,高鸿云,小儿精神科,3.6,小儿精神科常见病、多发病诊治,主任医师，小儿精神科专科，从事临床工作多年，具有丰富的临床经验。
复旦大学附属儿科医院,耿红全,小儿泌尿科,3.9,尿道下裂、隐睾、肾积水、小儿泌尿系结石,主任医师，小儿泌尿外科专科，擅长小儿泌尿系统先天畸形的矫治。
复旦大学附属儿科医院,陆良生,小儿泌尿科,4.8,尿道下裂、隐睾、肾积水、小儿泌尿系结石,主任医师，小儿泌尿外科专科，擅长小儿泌尿系统先天畸形的矫治。
复旦大学附属儿科医院,侯佳,小儿免疫科,3.9,小儿免疫科常见病、多发病诊治,主任医师，小儿免疫科专科，从事临床工作多年，具有丰富的临床经验。
复旦大学附属儿科医院,刘海梅,小儿免疫科,4.6,小儿免疫科常见病、多发病诊治,主任医师，小儿免疫科专科，从事临床工作多年，具有丰富的临床经验。
复旦大学附属儿科医院,陆炜,小儿内分泌科,3.7,糖尿病、甲状腺疾病、骨质疏松,主任医师，内分泌科专科，在内分泌代谢疾病诊治方面有丰富经验。
复旦大学附属儿科医院,王艺,小儿神经内科,3.8,儿童癫痫、儿童脑瘫、儿童脑炎,主任医师，小儿神经内科专科，从事小儿神经系统疾病诊治多年。
复旦大学附属儿科医院,周水珍,小儿神经内科,3.7,儿童癫痫、儿童脑瘫、儿童脑炎,主任医师，小儿神经内科专科，从事小儿神经系统疾病诊治多年。
复旦大学附属儿科医院,李昊,小儿神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属儿科医院,施伟,小儿神经外科,4.3,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属儿科医院,翟亦晖,小儿肾内科,3.7,肾小球疾病、肾功能衰竭、血液透析,主任医师，肾内科专科，在肾脏疾病诊治方面有丰富经验。
复旦大学附属儿科医院,陈功,小儿外科,3.9,小儿普外科疾病、小儿先天畸形、小儿肿瘤,主任医师，小儿外科专科，从事小儿外科临床工作多年。
复旦大学附属儿科医院,董岿然,小儿外科,3.8,小儿普外科疾病、小儿先天畸形、小儿肿瘤,主任医师，小儿外科专科，从事小儿外科临床工作多年。
复旦大学附属儿科医院,董瑞,小儿外科,3.8,小儿普外科疾病、小儿先天畸形、小儿肿瘤,主任医师，小儿外科专科，从事小儿外科临床工作多年。
复旦大学附属儿科医院,李凯,小儿外科,4.7,小儿普外科疾病、小儿先天畸形、小儿肿瘤,主任医师，小儿外科专科，从事小儿外科临床工作多年。
复旦大学附属儿科医院,沈淳,小儿外科,3.9,小儿普外科疾病、小儿先天畸形、小儿肿瘤,主任医师，小儿外科专科，从事小儿外科临床工作多年。
复旦大学附属儿科医院,孙松,小儿外科,3.9,小儿普外科疾病、小儿先天畸形、小儿肿瘤,主任医师，小儿外科专科，从事小儿外科临床工作多年。
复旦大学附属儿科医院,肖现民,小儿外科,3.8,小儿普外科疾病、小儿先天畸形、小儿肿瘤,主任医师，小儿外科专科，从事小儿外科临床工作多年。
复旦大学附属儿科医院,郑珊,小儿外科,4.1,小儿普外科疾病、小儿先天畸形、小儿肿瘤,主任医师，小儿外科专科，从事小儿外科临床工作多年。
复旦大学附属儿科医院,王玉环,小儿消化科,3.9,儿童消化系统疾病、儿童胃炎、儿童消化性溃疡,主任医师，小儿消化专科，擅长儿童消化系统疾病诊治。
复旦大学附属儿科医院,储晨,小儿心内科,3.8,儿童先天性心脏病、儿童心肌炎、儿童心肌病,主任医师，小儿心内科专科，在儿童心血管疾病诊治方面有丰富经验。
复旦大学附属儿科医院,桂永浩,小儿心内科,3.7,儿童先天性心脏病、儿童心肌炎、儿童心肌病,主任医师，小儿心内科专科，在儿童心血管疾病诊治方面有丰富经验。
复旦大学附属儿科医院,马晓静,小儿心内科,3.7,儿童先天性心脏病、儿童心肌炎、儿童心肌病,主任医师，小儿心内科专科，在儿童心血管疾病诊治方面有丰富经验。
复旦大学附属儿科医院,王凤,小儿心内科,4.1,儿童先天性心脏病、儿童心肌炎、儿童心肌病,主任医师，小儿心内科专科，在儿童心血管疾病诊治方面有丰富经验。
复旦大学附属儿科医院,程国强,新生儿科,4.2,新生儿危重症救治、早产儿管理、新生儿窒息,主任医师，新生儿科专科，在新生儿危重症救治方面有丰富经验。
复旦大学附属儿科医院,李志华,新生儿科,4.1,新生儿危重症救治、早产儿管理、新生儿窒息,主任医师，新生儿科专科，在新生儿危重症救治方面有丰富经验。
复旦大学附属儿科医院,王瑾,新生儿科,4.2,新生儿危重症救治、早产儿管理、新生儿窒息,主任医师，新生儿科专科，在新生儿危重症救治方面有丰富经验。
复旦大学附属儿科医院,周建国,新生儿科,3.7,新生儿危重症救治、早产儿管理、新生儿窒息,主任医师，新生儿科专科，在新生儿危重症救治方面有丰富经验。
复旦大学附属儿科医院,陈伟明,重症监护室,3.5,危重症抢救治疗、多器官功能衰竭、脓毒症,主任医师，重症医学专科，在危重症救治方面有丰富经验。
复旦大学附属妇产科医院,陶祥,病理科,3.6,临床病理诊断、术中冰冻诊断、疑难病例会诊,主任医师，病理科专科，在临床病理诊断方面有丰富经验。
复旦大学附属妇产科医院,黄绍强,麻醉科,3.6,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。
复旦大学附属妇产科医院,骆菲,新生儿科,3.3,新生儿危重症救治、早产儿管理、新生儿窒息,主任医师，新生儿科专科，在新生儿危重症救治方面有丰富经验。
复旦大学附属华山医院,唐峰,病理科,3.5,临床病理诊断、术中冰冻诊断、疑难病例会诊,主任医师，病理科专科，在临床病理诊断方面有丰富经验。
复旦大学附属华山医院,赵霞,耳鼻喉,3.5,耳聋、耳鸣、眩晕、鼻炎、咽喉炎,主任医师，耳鼻喉科专科，在耳鼻喉疾病诊治方面有丰富经验。
复旦大学附属华山医院,陈轶坚,感染内科,3.9,细菌感染、病毒感染、发热待查,主任医师，感染科专科，在感染性疾病诊治方面有丰富经验。
复旦大学附属华山医院,高岩,感染内科,4.2,细菌感染、病毒感染、发热待查,主任医师，感染科专科，在感染性疾病诊治方面有丰富经验。
复旦大学附属华山医院,黄玉仙,感染内科,4.1,细菌感染、病毒感染、发热待查,主任医师，感染科专科，在感染性疾病诊治方面有丰富经验。
复旦大学附属华山医院,蒋卫民,感染内科,3.7,细菌感染、病毒感染、发热待查,主任医师，感染科专科，在感染性疾病诊治方面有丰富经验。
复旦大学附属华山医院,金嘉琳,感染内科,4.0,细菌感染、病毒感染、发热待查,主任医师，感染科专科，在感染性疾病诊治方面有丰富经验。
复旦大学附属华山医院,施光峰,感染内科,3.7,细菌感染、病毒感染、发热待查,主任医师，感染科专科，在感染性疾病诊治方面有丰富经验。
复旦大学附属华山医院,王明贵,感染内科,3.7,细菌感染、病毒感染、发热待查,主任医师，感染科专科，在感染性疾病诊治方面有丰富经验。
复旦大学附属华山医院,朱利平,感染内科,3.7,细菌感染、病毒感染、发热待查,主任医师，感染科专科，在感染性疾病诊治方面有丰富经验。
复旦大学附属华山医院,陈小东,呼吸与危重症医学科,3.6,慢性阻塞性肺疾病、哮喘、肺炎,主任医师，呼吸内科专科，在呼吸系统疾病诊治方面有丰富经验。
复旦大学附属华山医院,李涛,结核病科,3.7,结核病科常见病、多发病诊治,主任医师，结核病科专科，从事临床工作多年，具有丰富的临床经验。
复旦大学附属华山医院,邵春红,精神科,3.7,精神科常见病、多发病诊治,主任医师，精神科专科，从事临床工作多年，具有丰富的临床经验。
复旦大学附属华山医院,施慎逊,精神科,4.0,精神科常见病、多发病诊治,主任医师，精神科专科，从事临床工作多年，具有丰富的临床经验。
复旦大学附属华山医院,王立伟,精神科,4.0,精神科常见病、多发病诊治,主任医师，精神科专科，从事临床工作多年，具有丰富的临床经验。
复旦大学附属华山医院,梁伟民,麻醉科,3.9,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。
复旦大学附属华山医院,余琼,麻醉科,3.7,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。
复旦大学附属华山医院,周守静,麻醉科,3.7,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。
复旦大学附属华山医院,邹和建,免疫科,3.6,类风湿关节炎、系统性红斑狼疮、痛风,主任医师，风湿免疫专科，在风湿免疫疾病诊治方面有丰富经验。
复旦大学附属华山医院,程梅芬,内分泌科,3.7,糖尿病、甲状腺疾病、骨质疏松,主任医师，内分泌科专科，在内分泌代谢疾病诊治方面有丰富经验。
复旦大学附属华山医院,闻杰,内分泌科,4.1,糖尿病、甲状腺疾病、骨质疏松,主任医师，内分泌科专科，在内分泌代谢疾病诊治方面有丰富经验。
复旦大学附属华山医院,叶红英,内分泌科,3.8,糖尿病、甲状腺疾病、骨质疏松,主任医师，内分泌科专科，在内分泌代谢疾病诊治方面有丰富经验。
复旦大学附属华山医院,张朝云,内分泌科,3.8,糖尿病、甲状腺疾病、骨质疏松,主任医师，内分泌科专科，在内分泌代谢疾病诊治方面有丰富经验。
复旦大学附属华山医院,卢燕雯,全科,3.4,全科常见病、多发病诊治,主任医师，全科专科，从事临床工作多年，具有丰富的临床经验。
复旦大学附属华山医院,程忻,神经内科,4.0,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
复旦大学附属华山医院,董强,神经内科,3.7,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
复旦大学附属华山医院,付建辉,神经内科,3.7,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
复旦大学附属华山医院,洪震,神经内科,3.7,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
复旦大学附属华山医院,卢家红,神经内科,3.7,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
复旦大学附属华山医院,王坚,神经内科,4.0,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
复旦大学附属华山医院,吴洵昳,神经内科,4.0,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
复旦大学附属华山医院,赵重波,神经内科,4.2,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
复旦大学附属华山医院,朱国行,神经内科,5.0,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
复旦大学附属华山医院,车晓明,神经外科,3.9,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,陈功,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,陈亮,神经外科,4.2,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,陈灵朝,神经外科,3.9,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,宫晔,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,顾宇翔,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,胡杰,神经外科,4.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,黄清海,神经外科,3.9,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,李士其,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,马德选,神经外科,3.9,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,毛颖,神经外科,3.9,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,潘力,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,秦智勇,神经外科,3.9,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,王镛斐,神经外科,4.4,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,吴雪海,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,谢嵘,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,徐斌,神经外科,4.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,徐宏治,神经外科,3.9,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,徐荣,神经外科,3.8,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,姚瑜,神经外科,4.6,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,于佶,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,张荣,神经外科,3.9,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,赵曜,神经外科,4.0,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,周良辅,神经外科,3.7,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,朱巍,神经外科,4.0,颅脑外伤、脑血管病、脑肿瘤、功能神经外科,主任医师，神经外科专科，擅长颅脑肿瘤及脑血管病的手术治疗。
复旦大学附属华山医院,郝传明,肾病内科,3.7,肾病内科常见病、多发病诊治,主任医师，肾病内科专科，从事临床工作多年，具有丰富的临床经验。
复旦大学附属华山医院,罗忠光,消化内科,4.6,胃食管反流病、胃炎、消化性溃疡,主任医师，消化内科专科，在消化系统疾病诊治方面有丰富经验。
复旦大学附属华山医院,孙韬,心血管内科,3.7,心血管内科常见病、多发病诊治,主任医师，心血管内科专科，从事临床工作多年，具有丰富的临床经验。
复旦大学附属华山医院,朱军,心血管内科,3.7,心血管内科常见病、多发病诊治,主任医师，心血管内科专科，从事临床工作多年，具有丰富的临床经验。
复旦大学附属华山医院,王宜青,心血管外科,3.5,动脉硬化闭塞、静脉曲张、深静脉血栓,主任医师，血管外科专科，在血管疾病诊治方面有丰富经验。
复旦大学附属华山医院,祝禾辰,重症监护室,3.6,危重症抢救治疗、多器官功能衰竭、脓毒症,主任医师，重症医学专科，在危重症救治方面有丰富经验。
复旦大学附属中山医院,陈岗,病理科,3.7,临床病理诊断、术中冰冻诊断、疑难病例会诊,主任医师，病理科专科，在临床病理诊断方面有丰富经验。
复旦大学附属中山医院,曹兰芳,儿科,3.5,儿童呼吸系统疾病、儿童消化系统疾病、儿童感染性疾病、儿童生长发育评估,主任医师，从事儿科临床工作多年，对儿童常见病、多发病有丰富的诊疗经验。
复旦大学附属中山医院,黄新生,耳鼻喉,3.4,耳聋、耳鸣、眩晕、鼻炎、咽喉炎,主任医师，耳鼻喉科专科，在耳鼻喉疾病诊治方面有丰富经验。
复旦大学附属中山医院,任正刚,肝病科,3.7,病毒性肝炎、肝硬化、脂肪肝、肝癌,主任医师，肝病专科，从事肝病临床诊治工作多年。
复旦大学附属中山医院,王艳红,肝病科,3.7,病毒性肝炎、肝硬化、脂肪肝、肝癌,主任医师，肝病专科，从事肝病临床诊治工作多年。
复旦大学附属中山医院,夏景林,肝病科,3.7,病毒性肝炎、肝硬化、脂肪肝、肝癌,主任医师，肝病专科，从事肝病临床诊治工作多年。
复旦大学附属中山医院,殷欣,肝病科,4.1,病毒性肝炎、肝硬化、脂肪肝、肝癌,主任医师，肝病专科，从事肝病临床诊治工作多年。
复旦大学附属中山医院,胡必杰,感染内科,3.7,细菌感染、病毒感染、发热待查,主任医师，感染科专科，在感染性疾病诊治方面有丰富经验。
复旦大学附属中山医院,白春学,呼吸与危重症医学科,3.8,慢性阻塞性肺疾病、哮喘、肺炎,主任医师，呼吸内科专科，在呼吸系统疾病诊治方面有丰富经验。
复旦大学附属中山医院,顾宇彤,呼吸与危重症医学科,4.2,慢性阻塞性肺疾病、哮喘、肺炎,主任医师，呼吸内科专科，在呼吸系统疾病诊治方面有丰富经验。
复旦大学附属中山医院,金美玲,呼吸与危重症医学科,3.7,慢性阻塞性肺疾病、哮喘、肺炎,主任医师，呼吸内科专科，在呼吸系统疾病诊治方面有丰富经验。
复旦大学附属中山医院,李善群,呼吸与危重症医学科,3.7,慢性阻塞性肺疾病、哮喘、肺炎,主任医师，呼吸内科专科，在呼吸系统疾病诊治方面有丰富经验。
复旦大学附属中山医院,童朝阳,急诊科,3.6,急危重症抢救、心肺复苏、急性中毒,主任医师，急诊科专科，在急危重症救治方面有丰富经验。
复旦大学附属中山医院,潘柏申,临床检验,3.6,临床检验常见病、多发病诊治,主任医师，临床检验专科，从事临床工作多年，具有丰富的临床经验。
复旦大学附属中山医院,葛圣金,麻醉科,3.8,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。
复旦大学附属中山医院,梁超,麻醉科,3.8,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。
复旦大学附属中山医院,缪长虹,麻醉科,3.9,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。
复旦大学附属中山医院,姜林娣,免疫科,3.5,类风湿关节炎、系统性红斑狼疮、痛风,主任医师，风湿免疫专科，在风湿免疫疾病诊治方面有丰富经验。
复旦大学附属中山医院,卞华,内分泌科,3.8,糖尿病、甲状腺疾病、骨质疏松,主任医师，内分泌科专科，在内分泌代谢疾病诊治方面有丰富经验。
复旦大学附属中山医院,高鑫,内分泌科,3.8,糖尿病、甲状腺疾病、骨质疏松,主任医师，内分泌科专科，在内分泌代谢疾病诊治方面有丰富经验。
